,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-06-1,12.3,16.6,0.0,,,S,31.0,11:29,13.6,99,8.0, ,Calm,1020.3,13.7,99,8.0,SW,9,1018.9
,2024-06-2,11.4,16.6,29.6,,,SSW,28.0,10:43,13.8,74,,W,13,1017.8,16.3,66,8.0,WSW,11,1015.0
,2024-06-3,6.9,17.7,0.0,,,WNW,35.0,14:11,13.0,83,1.0,N,9,1012.6,15.9,50,1.0,W,19,1010.4
,2024-06-4,3.6,15.9,0.0,,,NNE,15.0,20:03,9.0,98,1.0,ESE,7,1015.9,15.6,70,6.0,N,7,1015.0
,2024-06-5,8.1,16.6,0.0,,,SSE,24.0,11:37,10.7,99,8.0, ,Calm,1019.6,15.9,81,8.0,SSW,11,1017.4
,2024-06-6,10.6,17.2,3.2,,,SSW,28.0,14:38,12.0,100,8.0,SSW,2,1018.9,15.1,99,8.0,SSW,17,1017.1
,2024-06-7,11.9,17.5,27.4,,,,,,14.6,89,8.0,SSE,9,1014.0,15.3,99,, ,Calm,1011.8
,2024-06-8,10.4,21.6,8.2,,,W,28.0,14:56,15.0,83,3.0,NNW,7,1012.7,21.0,48,,W,20,1010.1
,2024-06-9,6.0,19.4,0.2,,,SSW,22.0,18:34,11.0,99,3.0,SSE,7,1017.0,19.1,55,,NNE,7,1015.7
,2024-06-10,4.0,18.1,0.0,,,SSW,33.0,13:33,9.1,99,3.0, ,Calm,1022.2,17.7,52,,S,17,1020.4
,2024-06-11,3.6,17.6,0.0,,,NNW,37.0,20:27,7.1,99,8.0, ,Calm,1020.5,15.6,63,8.0,NNE,9,1014.0
,2024-06-12,7.0,19.9,0.0,,,WSW,54.0,11:15,17.4,47,,NW,13,1009.0,17.3,41,7.0,SSW,26,1010.7
,2024-06-13,4.0,16.7,0.0,,,SW,30.0,09:44,12.1,64,4.0,W,13,1020.9,14.7,59,8.0,SW,9,1020.3
,2024-06-14,7.1,15.1,0.0,,,WSW,13.0,12:56,11.1,98,8.0,NNW,6,1020.3,14.9,72,8.0,SSW,6,1017.5
,2024-06-15,10.7,15.4,5.2,,,S,31.0,11:12,11.7,99,8.0,S,2,1018.0,14.1,80,8.0,SSW,17,1015.7
,2024-06-16,3.8,17.0,0.0,,,SSW,30.0,12:23,10.3,93,, ,Calm,1016.6,16.2,46,,SSW,19,1012.9
,2024-06-17,2.5,18.3,0.0,,,SSW,52.0,11:07,10.1,92,,NNE,6,1014.5,16.9,56,8.0,SW,19,1014.1
,2024-06-18,1.9,18.0,0.0,,,SW,30.0,10:38,8.1,99,,NW,2,1017.5,16.8,48,,SE,9,1014.1
,2024-06-19,-0.6,16.3,0.0,,,E,15.0,13:58,5.9,99,, ,Calm,1017.9,15.4,47,,ENE,9,1014.5
,2024-06-20,0.0,16.0,0.2,,,NNW,15.0,00:32,4.1,99,, ,Calm,1018.6,15.2,63,4.0,ESE,7,1015.7
,2024-06-21,3.1,18.1,0.0,,,SW,20.0,17:25,7.1,99,, ,Calm,1018.8,17.2,57,2.0,N,7,1017.5
,2024-06-22,4.2,15.9,8.0,,,SSW,30.0,20:22,8.9,99,8.0, ,Calm,1025.8,14.9,84,8.0,SE,9,1024.2
,2024-06-23,7.7,16.8,0.2,,,SSW,30.0,12:33,13.9,85,8.0,SSW,17,1025.3,16.5,72,,NW,7,1021.9
,2024-06-24,3.1,17.3,0.2,,,NE,13.0,13:03,5.7,100,8.0,E,2,1021.1,16.3,54,,ESE,9,1017.8
,2024-06-25,1.7,20.2,0.2,,,NW,22.0,14:55,5.6,100,5.0, ,Calm,1023.1,19.8,48,,NW,15,1018.8
,2024-06-26,4.1,21.8,0.2,,,N,37.0,13:45,6.5,100,7.0, ,Calm,1021.0,21.1,53,,N,24,1016.3
,2024-06-27,2.5,19.7,0.0,,,WNW,19.0,11:59,9.2,98,, ,Calm,1023.1,19.5,44,,NE,7,1020.3
,2024-06-28,2.2,18.4,0.0,,,ESE,17.0,14:32,7.5,99,,SE,7,1027.3,18.0,50,,E,9,1023.2
,2024-06-29,0.5,19.8,0.0,,,NNE,31.0,23:14,5.1,99,8.0, ,Calm,1021.8,19.1,63,7.0,SSW,7,1015.9
,2024-06-30,5.0,15.6,10.0,,,SSW,31.0,03:39,13.0,100,8.0,NNW,7,1014.0,13.7,90,8.0,SE,9,1014.7
